id,sport_key,bookmaker_key,market_title,name,price,last_update,commence_time,home_team,away_team,sport_title
d669a001f525baaaf01743c102eb055b,soccer_spain_la_liga,betonlineag,h2h,Draw,3.75,2023-08-25T11:58:34Z,2023-08-27T19:30:00Z,Athletic Bilbao,Real Betis,La Liga - Spain
cd09dbdc9abbd753656ae75b6f6d4c2a,soccer_spain_la_liga,bovada,h2h,Draw,3.0,2023-08-25T11:58:34Z,2023-08-28T17:30:00Z,Getafe,Alavés,La Liga - Spain
cd09dbdc9abbd753656ae75b6f6d4c2a,soccer_spain_la_liga,betonlineag,h2h,Draw,2.91,2023-08-25T11:58:34Z,2023-08-28T17:30:00Z,Getafe,Alavés,La Liga - Spain
20b2db38f83c5be0f6b8c3715cc7fce3,soccer_spain_la_liga,bovada,h2h,Draw,3.5,2023-08-25T11:58:34Z,2023-08-28T19:30:00Z,Rayo Vallecano,Atlético Madrid,La Liga - Spain
20b2db38f83c5be0f6b8c3715cc7fce3,soccer_spain_la_liga,betonlineag,h2h,Draw,3.44,2023-08-25T11:58:34Z,2023-08-28T19:30:00Z,Rayo Vallecano,Atlético Madrid,La Liga - Spain
81bff489e113b0de5d3d017f6197afd8,soccer_spain_la_liga,bovada,h2h,Draw,3.55,2023-08-25T11:58:34Z,2023-09-01T17:30:00Z,Cádiz CF,Villarreal,La Liga - Spain
9697fc9b39cae475dad771f353d5e05b,soccer_spain_la_liga,bovada,h2h,Draw,3.5,2023-08-25T11:58:34Z,2023-09-01T19:30:00Z,Almería,Celta Vigo,La Liga - Spain
474cba27c3b62467357c5690952a42f0,soccer_spain_la_liga,bovada,h2h,Draw,4.8,2023-08-25T11:58:34Z,2023-09-02T12:00:00Z,Real Sociedad,Granada CF,La Liga - Spain
c5605d72a41240caa5e15b938ccf6983,soccer_spain_la_liga,bovada,h2h,Draw,6.0,2023-08-25T11:58:34Z,2023-09-02T14:15:00Z,Real Madrid,Getafe,La Liga - Spain
f4851283b13e425b2f7b31bcbf4264fd,soccer_spain_la_liga,bovada,h2h,Draw,3.05,2023-08-25T11:58:34Z,2023-09-02T16:30:00Z,Alavés,Valencia,La Liga - Spain
79d490c5696680145b60467b3d0e7786,soccer_spain_la_liga,bovada,h2h,Draw,3.55,2023-08-25T11:58:34Z,2023-09-02T19:00:00Z,Real Betis,Rayo Vallecano,La Liga - Spain
